I0,I1
142.85699,160.28799
100.00000,160.24300
166.66701,160.24800
166.66701,160.25301
166.66701,160.25700
142.85699,160.24400
200.00000,160.27400
200.00000,160.30400
166.66701,160.30800
166.66701,160.31300
166.66701,160.31799
166.66701,160.32201
166.66701,160.32700
166.66701,160.33200
166.66701,160.33600
166.66701,160.34100
166.66701,160.34599
166.66701,160.35001
142.85699,160.33800
166.66701,160.34200
166.66701,160.34700
100.00000,160.30200
166.66701,160.30701
166.66701,160.31200
166.66701,160.31700
166.66701,160.32100
166.66701,160.32600
166.66701,160.33000
142.85699,160.31799
166.66701,160.32201
166.66701,160.32700
166.66701,160.33200
166.66701,160.33600
166.66701,160.34100
142.85699,160.32800
200.00000,160.35699
142.85699,160.34399
166.66701,160.34900
166.66701,160.35300
166.66701,160.35800
166.66701,160.36301
100.00000,160.31900
142.85699,160.30600
200.00000,160.33501
142.85699,160.32201
166.66701,160.32700
166.66701,160.33099
166.66701,160.33600
166.66701,160.34100
166.66701,160.34500
100.00000,160.30200
200.00000,160.33000
142.85699,160.31799
166.66701,160.32201
166.66701,160.32700
166.66701,160.33099
142.85699,160.31900
166.66701,160.32300
