px,py,fx,fy,zx,zy,zs
0.36286,0.76571,0.48714,0.56286,1.03158,1.01823,1.02493
0.35714,0.76857,0.48143,0.56571,1.02296,1.01534,1.01916
0.35429,0.77143,0.47857,0.56857,1.01746,1.01259,1.01503
0.35000,0.77286,0.47429,0.57000,1.01225,1.00497,1.00862
0.34857,0.77286,0.47286,0.57000,1.00484,1.00248,1.00366
0.34857,0.77286,0.47286,0.57000,1.00000,1.00000,1.00000
0.34857,0.77286,0.47286,0.57000,1.00000,1.00000,1.00000
0.34857,0.77286,0.47286,0.57000,1.00000,0.99753,0.99877
0.35000,0.76714,0.47429,0.56429,0.96145,0.96535,0.96340
0.35143,0.76429,0.47571,0.56143,0.91479,0.94359,0.92930
0.35000,0.76571,0.47429,0.56286,0.91507,0.94022,0.92773
0.34143,0.76286,0.46571,0.56000,0.91916,0.91329,0.91623
0.33714,0.76286,0.46143,0.56000,0.95114,0.93987,0.94552
