I0,I1,I2,I3,I4,I5,I6
15.28571,98.71429,58.28571,55.57143,6.49412,428.42087,620.74066
13.57143,99.85715,56.57143,56.71428,5.32941,369.25085,522.36743
13.14286,99.85715,56.14285,56.71428,5.05882,350.52615,495.86188
12.85714,99.71429,55.85715,56.57143,4.68235,329.55450,462.59183
13.71428,99.28571,56.71428,56.14285,4.25882,306.33591,425.39993
14.00000,99.14285,57.00000,56.00000,3.91765,289.85818,396.95886
13.57143,99.42857,56.57143,56.28571,3.69412,277.87439,377.44122
12.42857,100.57143,55.42857,57.42857,3.41177,258.40070,349.79306
11.57143,101.14286,54.57143,58.00000,3.15294,240.42499,324.36017
11.14286,101.57143,54.14286,58.42857,2.85882,223.94727,298.14334
11.14286,101.85714,54.14286,58.71429,2.49412,207.46953,268.27829
12.14286,102.57143,55.14286,59.42857,2.00000,182.00397,225.46564
12.42857,102.85715,55.42857,59.71429,1.80000,168.52219,205.86252
12.42857,102.71429,55.42857,59.57143,1.69412,156.53839,192.49234
11.85714,103.14286,54.85714,60.00000,1.58824,150.54649,182.80775
11.28571,103.28572,54.28572,60.14286,1.42353,141.55864,167.92006
11.42857,103.28572,54.42857,60.14286,1.34118,138.56270,161.31535
11.14286,103.42857,54.14286,60.28572,1.30588,136.31573,157.88692
11.14286,103.42857,54.14286,60.28572,1.28235,135.56674,156.03391
11.14286,103.42857,54.14286,60.28572,1.28235,135.56674,156.03391
11.28571,103.42857,54.28572,60.28572,1.29412,136.31573,157.18094
11.57143,103.14286,54.57143,60.00000,1.36471,140.06067,163.64059
12.28571,102.28572,55.28572,59.14286,1.63529,156.53839,189.60431
